,ID,PAY_APRIL,PAY_FEBRUARY,PAY_JANUARY,PAY_JUNE,PAY_MARCH,PAY_MAY,BILL_AMT_APRIL,BILL_AMT_FEBRUARY,BILL_AMT_JANUARY,BILL_AMT_JUNE,BILL_AMT_MARCH,BILL_AMT_MAY,PAY_AMT_APRIL,PAY_AMT_FEBRUARY,PAY_AMT_JANUARY,PAY_AMT_JUNE,PAY_AMT_MARCH,PAY_AMT_MAY,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_JULY
34,43,-1.0,0.0,0.0,-2.0,-1.0,-2.0,3243.0,26446.0,58598.0,-8.0,20172.0,-8.0,20174.0,46100.0,65000.0,0.0,12000.0,3251.0,230000.0,1,2,2,26,0
35,44,2.0,2.0,2.0,0.0,2.0,0.0,47229.0,47056.0,49565.0,41485.0,47956.0,44697.0,1800.0,3308.0,2500.0,4200.0,0.0,3600.0,70000.0,2,2,2,24,0
36,45,0.0,0.0,0.0,0.0,0.0,0.0,121369.0,104432.0,107209.0,146022.0,100807.0,145114.0,6000.0,6000.0,5000.0,7000.0,5000.0,5433.0,220000.0,1,1,2,29,0
37,46,0.0,0.0,0.0,0.0,0.0,0.0,34232.0,30337.0,28012.0,37148.0,32331.0,35754.0,2444.0,1038.0,2000.0,2000.0,1342.0,2000.0,210000.0,2,2,1,35,0
38,47,0.0,0.0,0.0,2.0,0.0,0.0,45414.0,21987.0,22452.0,29742.0,21331.0,30266.0,1000.0,980.0,1000.0,1406.0,1000.0,1366.0,30000.0,1,3,1,33,1
39,48,0.0,2.0,2.0,0.0,2.0,0.0,30001.0,31064.0,30487.0,26509.0,29187.0,27521.0,0.0,0.0,1100.0,1757.0,2300.0,3237.0,50000.0,2,2,2,25,0
40,49,2.0,0.0,0.0,2.0,0.0,3.0,30759.0,36229.0,79827.0,32355.0,32764.0,31549.0,2535.0,5000.0,3000.0,0.0,5000.0,0.0,150000.0,1,1,2,34,1
41,52,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4103.0,11372.0,2434.0,2732.0,12950.0,2183.0,12950.0,2434.0,2222.0,2183.0,11372.0,4142.0,340000.0,2,1,2,44,0
42,54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10062.0,4566.0,3915.0,4480.0,8662.0,1725.0,8675.0,3927.0,2529.0,1735.0,4566.0,10096.0,240000.0,2,2,1,40,0
43,55,0.0,0.0,-1.0,0.0,0.0,0.0,27292.0,7021.0,10171.0,39664.0,16567.0,28033.0,6000.0,10200.0,7900.0,9022.0,1000.0,10006.0,280000.0,1,1,2,27,0
44,56,0.0,0.0,0.0,0.0,0.0,0.0,98897.0,96967.0,99016.0,99483.0,94943.0,97546.0,3300.0,3500.0,3206.0,4841.0,3361.0,4300.0,200000.0,1,2,2,36,1
45,57,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,150.0,1082.0,232.0,0.0,232.0,150.0,81.0,0.0,0.0,0.0,210000.0,2,3,2,28,0
46,58,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130000.0,1,1,2,29,0
47,59,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,416.0,150.0,982.0,416.0,416.0,416.0,416.0,982.0,416.0,416.0,150.0,416.0,180000.0,2,1,2,33,1
48,60,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,2,1,1,45,1
49,61,0.0,0.0,0.0,2.0,0.0,0.0,25820.0,28224.0,28968.0,60289.0,25793.0,57426.0,1100.0,1200.0,1100.0,1580.0,3000.0,1500.0,60000.0,1,1,1,49,1
50,62,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,2,3,2,35,0
51,63,-2.0,-1.0,-1.0,1.0,-1.0,-2.0,0.0,13489.0,6788.0,0.0,304.0,0.0,304.0,6788.0,188.0,0.0,13489.0,0.0,200000.0,2,3,2,28,0
52,64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,878.0,926.0,1401.0,1066.0,1142.0,0.0,1142.0,1401.0,938.0,0.0,926.0,878.0,360000.0,2,2,2,37,1
53,65,0.0,0.0,0.0,2.0,0.0,0.0,47361.0,17807.0,18324.0,49052.0,44293.0,48026.0,3064.0,790.0,1100.0,3006.0,1799.0,2300.0,50000.0,2,1,2,25,1
54,66,0.0,0.0,0.0,0.0,0.0,0.0,229622.0,165639.0,159245.0,241499.0,202296.0,236556.0,8366.0,10000.0,6043.0,8500.0,6070.0,10200.0,240000.0,1,1,2,35,0
55,67,0.0,0.0,-1.0,0.0,-1.0,0.0,243673.0,57763.0,50852.0,323085.0,74003.0,303794.0,74085.0,51107.0,41791.0,50468.0,290.0,33372.0,570000.0,2,1,2,30,0
56,69,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,1000.0,0.0,1245.0,0.0,0.0,35300.0,0.0,1245.0,0.0,35300.0,0.0,1000.0,180000.0,2,3,2,24,0
57,70,0.0,0.0,0.0,0.0,0.0,0.0,99736.0,81005.0,79387.0,142129.0,80445.0,130705.0,4009.0,5011.0,7006.0,15126.0,5014.0,9064.0,140000.0,2,1,1,41,1
58,71,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,2,2,1,44,0
59,72,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1864.0,932.0,1014.0,462.0,932.0,562.0,0.0,1014.0,1000.0,1032.0,932.0,2234.0,210000.0,1,1,2,30,0
60,73,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,1894.0,1865.0,1496.0,566.0,2528.0,2329.0,2532.0,1496.0,1873.0,2329.0,1865.0,1894.0,230000.0,2,2,1,34,0
61,75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35369.0,14249.0,10637.0,15739.0,18351.0,17253.0,18351.0,10637.0,12331.0,17253.0,14249.0,35369.0,80000.0,2,1,1,47,0
62,76,0.0,-1.0,-1.0,-1.0,0.0,-1.0,19194.0,1717.0,4066.0,15179.0,4389.0,4981.0,2028.0,4086.0,2476.0,4983.0,1725.0,15084.0,350000.0,1,1,2,32,0
63,78,0.0,0.0,0.0,2.0,0.0,0.0,54293.0,51558.0,52800.0,55563.0,53294.0,55222.0,2450.0,1900.0,1826.0,2520.0,1676.0,2510.0,140000.0,2,1,1,33,1
64,79,2.0,-1.0,2.0,0.0,2.0,0.0,9022.0,6214.0,2360.0,11683.0,-422.0,9624.0,0.0,0.0,1300.0,3000.0,6900.0,0.0,310000.0,2,1,2,26,0
65,82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18511.0,45369.0,56789.0,7623.0,80877.0,9483.0,80877.0,56789.0,17540.0,9495.0,45369.0,18513.0,460000.0,2,1,1,54,0
66,83,-2.0,-1.0,-1.0,-2.0,-2.0,-2.0,57928.0,223.0,7037.0,47244.0,523.0,92754.0,523.0,7037.0,11000.0,62330.0,223.0,57928.0,200000.0,1,1,2,32,0
67,84,0.0,0.0,0.0,0.0,2.0,0.0,51221.0,49820.0,50525.0,51229.0,49759.0,46954.0,0.0,1988.0,2000.0,2100.0,2000.0,5896.0,50000.0,2,2,1,43,0
68,85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3979.0,6448.0,1476.0,15485.0,7139.0,12332.0,7160.0,1476.0,6078.0,12369.0,6471.0,4690.0,290000.0,2,1,1,47,0
69,86,0.0,0.0,-1.0,0.0,0.0,0.0,4885.0,-264.0,942.0,8618.0,1065.0,9975.0,1000.0,1206.0,0.0,1700.0,0.0,1020.0,30000.0,2,2,1,28,0
70,87,0.0,2.0,0.0,0.0,2.0,0.0,38038.0,37764.0,39053.0,34171.0,38683.0,34939.0,1564.0,2053.0,3228.0,1639.0,0.0,3683.0,160000.0,1,2,1,39,1
71,88,2.0,0.0,0.0,1.0,2.0,2.0,66362.0,57893.0,58212.0,66212.0,61417.0,64021.0,60.0,2500.0,2300.0,0.0,2200.0,6700.0,100000.0,2,3,2,54,0
72,89,0.0,0.0,0.0,0.0,0.0,0.0,18289.0,19195.0,19580.0,16560.0,18653.0,17278.0,668.0,853.0,790.0,1293.0,843.0,1304.0,20000.0,2,2,1,42,1
73,90,0.0,0.0,0.0,0.0,0.0,0.0,110937.0,43207.0,42954.0,106455.0,108869.0,109191.0,3814.0,1600.0,1600.0,6000.0,2000.0,5000.0,110000.0,1,2,2,40,0
74,91,0.0,0.0,0.0,-1.0,0.0,0.0,57827.0,45354.0,43112.0,79690.0,46390.0,80976.0,1684.0,1558.0,2000.0,3181.0,1564.0,2050.0,80000.0,1,2,1,27,0
75,93,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,4910.0,0.0,1000.0,490.0,0.0,-10.0,0.0,1000.0,1030.0,0.0,0.0,4920.0,170000.0,1,2,1,37,0
76,94,0.0,0.0,0.0,2.0,0.0,0.0,56599.0,60058.0,61250.0,54933.0,58155.0,55460.0,2500.0,2189.0,2282.0,2009.0,3000.0,2057.0,90000.0,1,1,1,34,1
77,96,0.0,0.0,0.0,2.0,0.0,0.0,70681.0,41367.0,17004.0,69770.0,69497.0,70954.0,1517.0,8001.0,295.0,3562.0,2000.0,1914.0,250000.0,2,2,2,24,1
78,97,-2.0,-2.0,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330000.0,1,2,1,34,0
79,98,0.0,0.0,0.0,-1.0,0.0,0.0,18546.0,18066.0,17463.0,9525.0,18846.0,16977.0,900.0,1000.0,0.0,8000.0,0.0,2000.0,20000.0,1,3,2,23,0
80,99,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,28823.0,2222.0,-34.0,12018.0,51120.0,31282.0,51379.0,0.0,0.0,32038.0,2233.0,28982.0,360000.0,1,1,2,29,0
81,103,0.0,0.0,-1.0,0.0,0.0,0.0,23359.0,-1353.0,93696.0,22331.0,23647.0,22341.0,1175.0,95049.0,3308.0,1371.0,0.0,1389.0,280000.0,1,2,1,33,0
82,105,2.0,2.0,2.0,2.0,2.0,2.0,18451.0,20256.0,20785.0,15089.0,17857.0,17023.0,0.0,1000.0,0.0,2500.0,2700.0,2000.0,90000.0,2,2,2,44,1
83,106,-1.0,0.0,-1.0,-1.0,2.0,-1.0,1170.0,390.0,390.0,390.0,780.0,390.0,0.0,390.0,390.0,390.0,0.0,1170.0,130000.0,2,2,1,48,1
84,107,2.0,0.0,0.0,1.0,0.0,2.0,35800.0,35967.0,36586.0,35544.0,36839.0,36664.0,2000.0,3000.0,0.0,2000.0,2000.0,0.0,40000.0,2,3,1,44,1
85,108,-1.0,-1.0,-1.0,-1.0,2.0,2.0,1863.0,390.0,390.0,2905.0,390.0,1258.0,0.0,390.0,390.0,0.0,390.0,2253.0,200000.0,2,1,2,31,0
86,109,3.0,0.0,0.0,1.0,2.0,2.0,57156.0,57437.0,59204.0,53524.0,54984.0,58646.0,0.0,3500.0,2200.0,6600.0,4000.0,0.0,110000.0,1,2,1,34,1
87,110,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,230000.0,1,1,2,42,1
88,111,2.0,0.0,0.0,0.0,0.0,0.0,48425.0,52764.0,55898.0,46588.0,50611.0,49496.0,3000.0,4000.0,2043.0,4000.0,3000.0,0.0,90000.0,2,1,2,27,0
89,112,0.0,0.0,2.0,0.0,0.0,0.0,51435.0,54709.0,52462.0,51897.0,51512.0,51961.0,2397.0,0.0,2448.0,2230.0,5912.0,2009.0,70000.0,1,1,2,26,0
90,113,2.0,-2.0,-2.0,-1.0,2.0,-1.0,735.0,-10.0,-10.0,1960.0,-10.0,732.0,0.0,0.0,0.0,800.0,0.0,3.0,360000.0,2,3,1,70,0
91,115,-1.0,-2.0,-2.0,1.0,-1.0,-2.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,360000.0,1,1,2,29,0
92,116,0.0,0.0,2.0,0.0,0.0,0.0,44283.0,51384.0,50568.0,42062.0,46352.0,43170.0,3000.0,0.0,2000.0,2000.0,6000.0,2000.0,170000.0,2,1,2,28,0
93,117,0.0,0.0,0.0,0.0,0.0,0.0,295807.0,289529.0,289449.0,293429.0,291616.0,295998.0,11500.0,10500.0,10000.0,13200.0,10500.0,14000.0,460000.0,1,1,1,49,0
94,118,2.0,0.0,0.0,1.0,-1.0,-1.0,200.0,16858.0,0.0,0.0,22935.0,200.0,22935.0,0.0,0.0,200.0,0.0,0.0,300000.0,2,2,1,66,0
95,119,0.0,2.0,0.0,1.0,0.0,2.0,22995.0,23781.0,25383.0,22320.0,24310.0,21674.0,2000.0,2000.0,1000.0,0.0,0.0,1685.0,30000.0,1,3,1,50,1
96,121,2.0,2.0,2.0,2.0,2.0,2.0,17302.0,17893.0,18252.0,16039.0,17521.0,17080.0,800.0,800.0,0.0,1600.0,800.0,800.0,30000.0,2,2,2,47,1
97,122,-1.0,0.0,-1.0,1.0,0.0,-2.0,390.0,390.0,150.0,0.0,390.0,0.0,0.0,150.0,390.0,0.0,0.0,390.0,20000.0,2,2,3,46,0
98,123,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1560.0,4386.0,2703.0,0.0,1017.0,0.0,4386.0,12000.0,1017.0,1560.0,0.0,390000.0,2,1,2,33,0
99,124,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2652.0,30096.0,8961.0,50500.0,12097.0,22771.0,12097.0,8961.0,38591.0,22771.0,30096.0,2652.0,230000.0,1,1,2,45,0
100,125,0.0,0.0,0.0,0.0,0.0,0.0,26601.0,28017.0,28593.0,37329.0,27358.0,32540.0,1200.0,1042.0,1009.0,1500.0,1100.0,1500.0,50000.0,2,2,2,36,1
101,126,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1682.0,1682.0,1682.0,1682.0,1682.0,1929.0,1682.0,1682.0,1674.0,1929.0,1682.0,1682.0,120000.0,2,2,2,26,0
102,127,2.0,-1.0,-2.0,-1.0,-1.0,2.0,0.0,0.0,0.0,5713.0,6407.0,1492.0,6407.0,0.0,3000.0,0.0,0.0,0.0,120000.0,2,2,2,30,0
103,129,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220000.0,1,1,2,33,1
104,130,2.0,2.0,2.0,2.0,2.0,2.0,77514.0,80316.0,82321.0,74766.0,78730.0,76470.0,3100.0,3500.0,6500.0,3500.0,3000.0,2900.0,90000.0,1,3,1,49,1
105,131,-2.0,-2.0,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,18486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,2,2,1,37,0
106,133,0.0,0.0,0.0,0.0,0.0,0.0,9816.0,8765.0,9136.0,9730.0,9889.0,9067.0,1000.0,1000.0,2000.0,1500.0,1000.0,1091.0,50000.0,2,2,2,29,0
107,135,0.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,40173.0,0.0,41150.0,0.0,0.0,0.0,2200.0,0.0,0.0,190000.0,2,2,1,33,0
108,136,0.0,0.0,0.0,0.0,0.0,0.0,44765.0,20343.0,12349.0,47695.0,31240.0,48879.0,2000.0,1003.0,1500.0,2017.0,3007.0,3000.0,50000.0,1,1,1,40,0
109,138,0.0,0.0,0.0,0.0,0.0,0.0,87817.0,48126.0,49234.0,108711.0,47175.0,107996.0,2200.0,2000.0,2000.0,6000.0,2000.0,4542.0,130000.0,2,3,1,49,0
110,140,3.0,2.0,2.0,0.0,2.0,0.0,188441.0,193673.0,197104.0,163553.0,191134.0,192724.0,7100.0,6500.0,7000.0,32000.0,7000.0,0.0,260000.0,1,1,1,37,1
111,143,2.0,2.0,2.0,2.0,2.0,2.0,138289.0,142913.0,146003.0,132510.0,134773.0,128981.0,200.0,5600.0,5200.0,0.0,10500.0,13000.0,160000.0,2,1,2,33,1
112,146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18886.0,5040.0,6070.0,7588.0,9476.0,15557.0,10000.0,6100.0,22000.0,17015.0,10000.0,19030.0,140000.0,2,1,2,28,0
113,148,-1.0,0.0,2.0,1.0,0.0,-2.0,22015.0,24583.0,25227.0,0.0,22649.0,0.0,1000.0,1200.0,0.0,0.0,2300.0,22015.0,30000.0,1,1,2,29,0
114,150,2.0,0.0,0.0,2.0,0.0,2.0,48546.0,49890.0,48941.0,46346.0,49157.0,49612.0,1900.0,0.0,999.0,4355.0,1333.0,0.0,50000.0,1,2,2,29,0
115,151,-1.0,2.0,-2.0,-1.0,2.0,-1.0,780.0,0.0,0.0,390.0,780.0,390.0,0.0,0.0,0.0,390.0,0.0,780.0,20000.0,1,2,2,34,0
116,153,-1.0,-1.0,2.0,-1.0,-1.0,2.0,1688.0,6394.0,1626.0,5432.0,1226.0,2146.0,1226.0,0.0,3146.0,0.0,7000.0,1688.0,280000.0,2,1,2,28,0
117,157,0.0,0.0,0.0,0.0,0.0,0.0,73143.0,77059.0,78820.0,119884.0,75919.0,105631.0,4000.0,3000.0,4000.0,4545.0,3000.0,2700.0,120000.0,2,2,1,34,0
118,158,0.0,0.0,0.0,0.0,0.0,0.0,30036.0,30997.0,32904.0,37767.0,30337.0,34457.0,1100.0,2423.0,0.0,1788.0,1150.0,1799.0,100000.0,2,2,2,27,0
119,161,0.0,0.0,0.0,0.0,0.0,0.0,22576.0,22029.0,19540.0,42713.0,18247.0,50270.0,1500.0,5000.0,5000.0,10000.0,4000.0,10000.0,100000.0,2,2,2,27,0
120,162,0.0,0.0,0.0,0.0,0.0,0.0,361178.0,289379.0,295768.0,384150.0,305024.0,392013.0,12008.0,11000.0,11000.0,15000.0,11000.0,16000.0,480000.0,2,1,1,38,0
121,164,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290000.0,2,2,1,60,0
122,166,0.0,0.0,0.0,0.0,0.0,0.0,132969.0,46516.0,47455.0,131575.0,45584.0,130931.0,1291.0,1336.0,1365.0,6700.0,1319.0,6000.0,130000.0,2,2,2,29,0
123,167,2.0,0.0,0.0,0.0,0.0,0.0,110084.0,114779.0,116920.0,107148.0,112272.0,113396.0,4019.0,4204.0,4314.0,9500.0,4317.0,0.0,240000.0,2,3,1,38,1
124,168,0.0,0.0,0.0,0.0,0.0,0.0,55352.0,75046.0,65184.0,51085.0,63055.0,48531.0,10000.0,10010.0,10036.0,5014.0,15057.0,10000.0,180000.0,2,1,2,28,0
125,169,0.0,0.0,0.0,0.0,0.0,0.0,7676.0,10181.0,12472.0,4761.0,9877.0,5786.0,2500.0,2472.0,1000.0,1110.0,1000.0,2000.0,230000.0,1,2,1,36,0
126,170,2.0,2.0,0.0,0.0,2.0,0.0,26077.0,27315.0,27709.0,24043.0,27898.0,26806.0,2257.0,1000.0,2000.0,3165.0,0.0,0.0,50000.0,1,2,2,29,0
127,171,2.0,2.0,2.0,1.0,2.0,2.0,13017.0,13927.0,15692.0,12026.0,14299.0,13531.0,1500.0,2000.0,0.0,2000.0,0.0,0.0,70000.0,1,1,1,40,0
128,172,0.0,0.0,0.0,0.0,0.0,0.0,21320.0,19003.0,19439.0,13917.0,18614.0,16695.0,2000.0,679.0,500.0,3000.0,618.0,5000.0,50000.0,1,2,1,47,0
129,173,0.0,0.0,0.0,2.0,0.0,0.0,87294.0,81640.0,82462.0,101347.0,85336.0,95956.0,4061.0,2800.0,2909.0,4179.0,2846.0,4231.0,230000.0,2,1,2,28,1
130,175,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2394.0,2441.0,2441.0,2434.0,2441.0,3881.0,2453.0,2453.0,2453.0,3900.0,2453.0,2406.0,360000.0,2,1,2,27,0
131,176,0.0,0.0,0.0,0.0,0.0,0.0,169614.0,177427.0,182399.0,180227.0,172297.0,186423.0,7000.0,8000.0,9000.0,11000.0,8000.0,8000.0,210000.0,2,1,1,53,0
